Chinese
dim sum
sum dim
meal meal
2 2
asian asian
friendly friendly
did did
price price
sushi sushi
say say
dinner dinner
sweet sweet
way way
right right
taste taste
make make
want want
bit bit
going going
5 5
flavor flavor
table table
tasty tasty
3 3
tried tried
prices prices
thai thai
staff staff
wasn't wasn't
times times
sure sure
rolls rolls
night night
favorite favorite
sour sour
pho pho
said said
places places
thing thing
stars stars
meat meat
small small
lot lot
restaurants restaurants
quality quality
new new
wait wait
long long
4 4
ok ok
big big
special special
experience experience
can't can't
buffet buffet
amazing amazing
minutes minutes
eating eating
fast fast
area area
day day
different different
decent decent
crab crab
items items
roll roll
duck duck
tasted tasted
family family
you're you're
10 10
portions portions
large large
clean clean
1 1
rice fried
authentic authentic
asked asked
tea tea
fish fish
worth worth
home home
looking looking
style style
house house
tofu tofu
usually usually
china china
that's that's
things things
wanted wanted
cheap cheap
dumplings dumplings
thought thought
happy happy
away away
fried rice
super super
crispy crispy
mein mein
years years
chow chow
star star
awesome awesome
quick quick
maybe maybe
delivery delivery
kind kind
location location
used used
cooked cooked
server server
ask ask
reviews reviews
friend friend
bowl bowl
far far
visit visit
curry curry
huge huge
friends friends
i'll i'll
coming coming
review review
water water
left left
dining dining
pot pot
plate plate
feel feel
bbq bbq
check check
waitress waitress
town town
told told
panda panda
strip strip
pepper pepper
ate ate
comes comes
drinks drinks
look look
need need
busy busy
drink drink
perfect perfect
broth broth
okay okay
white white
looked looked
half half
seafood seafood
veggies veggies
isn't isn't
fun fun
decor decor
couple couple
open open
bland bland
hard hard
enjoyed enjoyed
bar bar
tables tables
hour hour
ordering ordering
spot spot
broccoli broccoli
yummy yummy
wonton wonton
express express
old old
portion portion
salad salad
average average
waiter waiter
food chinese
gave gave
high high
garlic garlic
husband husband
steamed steamed
atmosphere atmosphere
enjoy enjoy
yes yes
extra extra
selection selection
loved loved
liked liked
close close
salt salt
let let
yelp yelp
expect expect
oh oh
real real
specials specials
vegetables vegetables
fan fan
cold cold
20 20
wrong wrong
black black
free free
trying trying
late late
tell tell
phoenix phoenix
brought brought
won't won't
greasy greasy
6 6
salty salty
customer customer
wife wife
end end
15 15
eaten eaten
8 8
seated seated
owner owner
dessert dessert
ice ice
stuff stuff
plus plus
pay pay
money money
chinese food
30 30
serve serve
kitchen kitchen
expensive expensive
lots lots
room room
beans beans
tender tender
pieces pieces
sesame sesame
today today
bean bean
group group
bring bring
does does
couldn't couldn't
business business
flavors flavors
week week
choice choice
attentive attentive
outside outside
waiting waiting
course course
variety variety
pick pick
fact fact
entrees entrees
dry dry
felt felt
plates plates
fine fine
later later
live live
highly highly
reason reason
wall wall
remember remember
chili chili
entree entree
kung pao
they're they're
7 7
pao kung
orders orders
lettuce lettuce
hungry hungry
chef chef
arrived arrived
chicken orange
regular regular
customers customers
walked walked
priced priced
worst worst
quickly quickly
stop stop
brown brown
wish wish
party party
tip tip
point point
door door
twice twice
panda express
mexican mexican
bao bao
yum yum
horrible horrible
sat sat
impressed impressed
line line
servers servers
light light
sit sit
add add
chicken rice
wontons wontons
hours hours
mind mind
combo combo
express panda
chinatown chinatown
wei wei
bite bite
year year
plenty plenty
hit hit
manager manager
guy guy
meals meals
chicken fried
leave leave
believe believe
hand hand
start start
days days
cook cook
oil oil
ready ready
street street
american american
soft soft
haven't haven't
vegas las
pei wei
vegetable vegetable
run run
wei pei
sitting sitting
trip trip
fusion fusion
sweet sour
casino casino
you'll you'll
standard standard
walk walk
eggplant eggplant
waited waited
sour sweet
thai pad
soon soon
gone gone
buns buns
slow slow
lobster lobster
choices choices
hong hong
item item
kong kong
we've we've
packed packed
terrible terrible
wings wings
cheese cheese
parking parking
value value
appetizers appetizers
las vegas
filling filling
food good
mediocre mediocre
vegetarian vegetarian
mouth mouth
chang's chang's
filled filled
low low
added added
choose choose
steak steak
pricey pricey
chop chop
problem problem
sauces sauces
food service
wow wow
counter counter
local local
hong kong
kong hong
sign sign
buffets buffets
totally totally
understand understand
rude rude
belly belly
kids kids
9 9
ginger ginger
easy easy
seen seen
ramen ramen
onions onions
wok wok
warm warm
mall mall
ribs ribs
good food
boyfriend boyfriend
rice chicken
overpriced overpriced
weird weird
share share
cut cut
fat fat
mein lo
pad thai
foods foods
thick thick
orange chicken
teriyaki teriyaki
dumpling dumpling
lo mein
miss miss
total total
change change
12 12
owners owners
food place
chow mein
unique unique
carts carts
mix mix
soups soups
mein chow
tuna tuna
poor poor
beef mongolian
dan dan
coconut coconut
closed closed
list list
doing doing
milk milk
leftovers leftovers
cake cake
dirty dirty
lamb lamb
hostess hostess
deliver deliver
palace palace
crunchy crunchy
paid paid
solid solid
peppers peppers
tons tons
mango mango
lettuce wraps
tiny tiny
head head
soup sour
onion onion
egg rolls
bucks bucks
level level
korean korean
chewy chewy
seating seating
chicken sauce
available available
hot sour
fried chicken
says says
sour hot
bun bun
crazy crazy
working working
immediately immediately
set set
