dish	counts
fried rice	5560
dim sum	5053
tofu	2644
egg roll	2459
orange chicken	2095
noodle soup	1654
Mongolian beef	1384
spring roll	1218
chow mein	1214
lo mein	983
hot and sour soup	958
BBQ pork	924
wonton soup	818
chow fun	778
Kung Pao Chicken	722
hot pot	693
sesame chicken	628
rice noodle	568
sweet and sour chicken	515
pork buns	363
roast duck	345
stir fry	341
lemon chicken	337
peking duck	332
egg foo young	320
chicken feet	312
bok choy	295
steamed rice	281
shrimp dumpling	274
cashew chicken	246
spare rib	242
pork dumpling	227
dan dan noodle	199
xiao long bao	193
oyster sauce	190
shaved ice	178
mu shu pork	169
rice cake	156
siu mai	144
char siu	121
chop suey	115
shrimp ball	111
beef tendon	99
shark fin	94
bamboo shoot	91
general chicken	80
szechuan chicken	64
lamb skewer	42
fried dough	28
hainanese chicken rice	19
