dish	counts
Jimmy Chung's	5
Szechuan Cuisine	5
Joyful Chinese Dining	5
Satay Thai Bistro & Bar	5
Joe's Kitchen	5
Red Mansion	5
Pan Asia Sushi Chinese Fusion	5
QQ Express	5
Wendy's Noodle Cafe	5
Desert Jade	5
Golden Flower Chinese Cuisine	5
Yunnan Garden	5
The Original Las Vegas Buffet	5
Great Wall Buffet Two Corporation	5
King Buffet	5
Orient House	4.75
Beijing Noodle Cafe	4.666666667
Cameron Chinese Seafood Restaurant	4.625
KJ Kitchen	4.6
Buffet @ Asia	4.5
Little Buddha Restaurant & Sushi Bar	4.5
Pho Kim Long	4.5
World Buffet	4.4
Stack Dim Sum Bar	4.384615385
COFCO Chinese Culture Center	4.333333333
Hakkasan Restaurant	4.264705882
Jasmine	4.052631579
China Magic Noodle House	4
China Star	4
Cafe Noodle & Chinese Barbeque	4
Forbes KTV Restaurant & Bar	4
Tai's Asian Bistro	4
Tasty House Chinese Restaurant	4
Flo's	4
George & Son's Asian Cuisine	4
Pei Wei Asian Diner	4
Kung Fu Chef	4
Ginger China Bistro	4
Hong Kong Wok	4
Meadowood Cafe	4
The Clever Koi	4
Asian Cafe Express	4
Big Wong Restaurant	4
Yi Mei Champion Taiwan Deli	4
Noodle Pot	4
Henry's Taiwan Kitchen	4
Hot Wok Chinese Restaurant	4
King Wah Express	4
Happy Valley's Congee & Bar	4
Chino Bandido	4
Noodle Palace	4
Great Bao	4
Red Wok Buffet	4
Buffet Asia	4
HK Star	4
Bund Shanghai	4
Buffet at Asia	4
Crystal Palace Restaurant	4
Cafe Ga Hyang	4
Hong Kong Gourmet Buffet	4
BBQ King	4
Umami Ramen & Dumpling Bar	4
China Chan Restaurant	3.857142857
Great Wall Cuisine	3.845454545
DumplingHaus	3.833333333
Imperial Palace	3.833333333
Las Vegas Chinatown Plaza	3.833333333
Viet Bistro	3.8
Phoenix Palace	3.793103448
1900 Asian Cuisine	3.777777778
Mekong Palace	3.764705882
Jade At the Palazzo	3.75
Anna's Garden	3.75
China King	3.736363636
Saigon Saigon	3.666666667
Three Villages Restaurant	3.666666667
Fin	3.666666667
Noodles	3.659574468
Ping Pang Pong	3.599078341
Chang's Hong Kong Cuisine	3.583673469
Orchids Garden Chinese Restaurant	3.554794521
Crazy Buffet	3.5
Noodle Asia	3.470588235
C-Fu Gourmet Restaurant	3.426470588
Dim Sum Cafe	3.388888889
Jumbo Super Buffet	3.333333333
Hot Wheels	3.333333333
Kan's Kitchen	3.333333333
Red 8	3.314814815
P F Chang's China Bistro	3.266666667
Golden Buddha	3.260869565
East Ocean Dim Sum & Seafood Restaurant	3.256880734
China Mama Restaurant	3.25
China Poblano	3.231707317
Cathay House Restaurant	3.215827338
Jade Palace	3.2
Chin Chin Chinese Restaurant	3.125
Szechwan Palace	3
Dragon Way	3
Rainbow Arch Restaurant	3
Foods 2 Go	3
1 Eastern Super Buffet	3
Hao Bao	3
Fate 905	3
Panda Garden	3
Dragon Noodle Co.	3
China China Restaurant	3
Capital Seafood Restaurant	3
Chop Chop Wok	3
China Town Buffet	3
Hope Kee	3
Great Wall Buffet	3
Hibachi Grill & Supreme Buffet	3
J & K Gourmet	3
Noodle Shop	3
Pearl	3
New China Buffet	3
Asian Seafood Buffet	3
China Chili	3
Rice & Company	3
Blossom	3
Beijing Noodle No. 9	2.875
Harbor Palace Seafood Restaurant	2.6
Fortunes	2.6
Zine Noodles Dim Sum	2.529411765
Liu's Kitchen	2.5
Shanghai Lilly	2.5
Chop Chop	2.5
Harbor Palace	2.443181818
Cathay House	2.153846154
Lin Buffet	2
Spicy City	2
Fusia	2
Joyful House Chinese Cuisine	2
Panda Express	2
China Wok	2
Volcano Buffet	2
Chou's Kitchen	2
King Tin Restaurant	1.75
China Ginger	1
Emperor's Garden	1
Golden Gate Chinese Restaurant	1
Red Dragon Chinese Food	1
